Time,Open,High,Low,Latest,Volume
2018-10-01T08:00:00+0000,99.18,99.18,99.18,99.18,4
2018-10-23T13:00:00+0000,99.2,99.2,99.2,99.2,1
2018-10-23T15:00:00+0000,99.205,99.205,99.205,99.205,1
2018-11-06T11:00:00+0000,99.185,99.185,99.185,99.185,50
2018-11-08T09:00:00+0000,99.165,99.165,99.165,99.165,2
2018-11-09T16:00:00+0000,99.17,99.17,99.17,99.17,10
2018-11-15T08:00:00+0000,99.2,99.2,99.2,99.2,50
2018-12-06T09:00:00+0000,99.235,99.235,99.235,99.235,20
2018-12-10T11:00:00+0000,99.25,99.25,99.25,99.25,50
2018-12-14T16:00:00+0000,99.255,99.255,99.255,99.255,50
2018-12-17T08:00:00+0000,99.25,99.25,99.25,99.25,1
2019-01-22T08:00:00+0000,99.27,99.27,99.27,99.27,35
2019-01-31T10:00:00+0000,99.27,99.27,99.27,99.27,50
2019-01-31T12:00:00+0000,99.275,99.275,99.275,99.275,50
2019-03-01T08:00:00+0000,99.285,99.285,99.285,99.285,50
2019-03-01T09:00:00+0000,99.285,99.285,99.285,99.285,600
2019-03-01T15:00:00+0000,99.285,99.285,99.285,99.285,99
2019-03-07T14:00:00+0000,99.285,99.285,99.285,99.285,28
2019-03-11T23:00:00+0000,99.2875,99.2875,99.285,99.285,200
2019-03-12T17:00:00+0000,99.295,99.295,99.295,99.295,100
2019-03-20T08:00:00+0000,99.2925,99.2925,99.2925,99.2925,50
2019-03-20T12:00:00+0000,99.2925,99.2925,99.2925,99.2925,10
2019-03-22T09:00:00+0000,99.31,99.31,99.31,99.31,1
2019-03-22T13:00:00+0000,99.315,99.315,99.315,99.315,59
2019-03-25T12:00:00+0000,99.31,99.31,99.31,99.31,105
2019-03-28T15:00:00+0000,99.2975,99.2975,99.2975,99.2975,50
2019-03-29T11:00:00+0000,99.2975,99.2975,99.2975,99.2975,300
