Time,Open,High,Low,Latest,Volume
2009-05-01T16:00:00+0000,38.57,38.64,38.57,38.64,22
2009-05-04T16:00:00+0000,39.51,39.51,39.4,39.4,5
2009-05-04T17:00:00+0000,39.36,39.38,39.36,39.38,12
2009-05-05T16:00:00+0000,39.68,39.68,39.68,39.68,1
2009-05-05T17:00:00+0000,39.65,39.67,39.65,39.67,2
2009-05-06T15:00:00+0000,40.53,40.53,40.53,40.53,1
2009-05-08T14:00:00+0000,40.2,40.2,40.2,40.2,9
2009-05-08T18:00:00+0000,40.65,40.65,40.65,40.65,1
2009-05-11T14:00:00+0000,40.81,40.81,40.81,40.81,5
2009-05-11T15:00:00+0000,40.7,40.7,40.7,40.7,3
2009-05-11T17:00:00+0000,41.02,41.02,40.87,40.9,5
2009-05-11T18:00:00+0000,40.91,40.93,40.91,40.93,2
2009-05-12T14:00:00+0000,40.89,40.9,40.89,40.9,7
2009-05-13T14:00:00+0000,41.2,41.23,41.2,41.23,3
2009-05-13T15:00:00+0000,41.23,41.23,41.22,41.22,3
2009-05-13T16:00:00+0000,40.99,41.04,40.97,40.99,5
2009-05-13T17:00:00+0000,40.64,40.64,40.64,40.64,1
2009-05-14T14:00:00+0000,40.19,40.19,40.19,40.19,2
2009-05-14T15:00:00+0000,40.32,40.35,40.21,40.21,24
2009-05-14T16:00:00+0000,40.18,40.18,40.18,40.18,1
2009-05-14T17:00:00+0000,40.13,40.2,40.12,40.12,22
2009-05-14T18:00:00+0000,40.24,40.27,40.24,40.27,40
2009-05-15T14:00:00+0000,40.03,40.03,39.85,39.85,12
2009-05-15T17:00:00+0000,39.33,39.33,39.31,39.31,4
2009-05-15T18:00:00+0000,39.15,39.15,39.15,39.15,1
2009-05-18T15:00:00+0000,39.26,39.26,39.25,39.25,12
2009-05-18T16:00:00+0000,39.34,39.34,39.32,39.32,3
2009-05-18T17:00:00+0000,39.34,39.34,39.34,39.34,1
2009-05-19T14:00:00+0000,39.56,39.56,39.56,39.56,2
2009-05-19T15:00:00+0000,39.55,39.57,39.32,39.4,112
2009-05-19T16:00:00+0000,39.55,39.61,39.55,39.59,15
2009-05-19T17:00:00+0000,39.35,39.35,39.35,39.35,9
2009-05-19T18:00:00+0000,39.36,39.43,39.35,39.43,34
2009-05-20T14:00:00+0000,39.94,40.0,39.91,39.91,5
2009-05-20T15:00:00+0000,39.89,39.97,39.77,39.89,33
2009-05-20T16:00:00+0000,39.71,39.71,39.59,39.62,12
2009-05-20T17:00:00+0000,39.46,39.46,39.46,39.46,3
2009-05-20T18:00:00+0000,39.8,39.8,39.74,39.74,33
2009-05-21T14:00:00+0000,39.03,39.03,39.03,39.03,1
2009-05-21T16:00:00+0000,39.1,39.1,39.1,39.1,2
2009-05-22T14:00:00+0000,39.4,39.4,39.2,39.26,5
