Time,Open,High,Low,Close,Volume
2018-04-26T09:00:00+0000,32.72,32.72,32.72,32.72,1
2018-04-26T10:00:00+0000,32.76,32.76,32.72,32.72,14
2018-04-26T12:00:00+0000,32.74,32.74,32.74,32.74,29
2018-04-26T13:00:00+0000,32.74,32.74,32.72,32.72,37
2018-04-26T14:00:00+0000,32.72,32.74,32.66,32.74,154
2018-04-26T16:00:00+0000,32.75,32.75,32.7,32.7,53
2018-04-26T17:00:00+0000,32.73,32.73,32.66,32.66,9
2018-04-26T18:00:00+0000,32.67,32.67,32.66,32.66,28
2018-04-27T05:00:00+0000,32.67,32.67,32.67,32.67,1
2018-04-27T08:00:00+0000,32.6,32.6,32.55,32.55,107
2018-04-27T10:00:00+0000,32.5,32.5,32.5,32.5,31
2018-04-27T11:00:00+0000,32.5,32.51,32.5,32.51,17
2018-04-27T12:00:00+0000,32.53,32.53,32.51,32.51,2
2018-04-27T13:00:00+0000,32.5,32.59,32.36,32.58,283
2018-04-27T14:00:00+0000,32.58,32.58,32.4,32.4,170
2018-04-27T15:00:00+0000,32.35,32.4,32.34,32.38,71
2018-04-27T16:00:00+0000,32.38,32.38,32.37,32.37,9
2018-04-27T17:00:00+0000,32.37,32.38,32.33,32.35,136
2018-04-27T18:00:00+0000,32.39,32.49,32.37,32.49,189
2018-04-30T07:00:00+0000,32.39,32.39,32.38,32.38,2
2018-04-30T09:00:00+0000,32.36,32.36,32.36,32.36,2
2018-04-30T12:00:00+0000,32.43,32.43,32.42,32.42,3
2018-04-30T13:00:00+0000,32.41,32.48,32.41,32.48,26
2018-04-30T14:00:00+0000,32.36,32.45,32.35,32.42,18
2018-04-30T15:00:00+0000,32.43,32.49,32.43,32.46,10
2018-04-30T16:00:00+0000,32.37,32.4,32.35,32.4,206
2018-04-30T17:00:00+0000,32.39,32.42,32.31,32.34,67
2018-04-30T18:00:00+0000,32.31,32.35,32.31,32.35,27
2018-05-01T00:00:00+0000,32.43,32.43,32.43,32.43,1
2018-05-01T08:00:00+0000,32.27,32.27,32.27,32.27,1
2018-05-01T13:00:00+0000,32.26,32.26,32.25,32.25,32
2018-05-01T14:00:00+0000,32.23,32.23,31.95,31.96,363
2018-05-01T15:00:00+0000,31.91,32.1,31.91,32.1,37
2018-05-01T16:00:00+0000,32.04,32.06,31.93,31.93,42
2018-05-01T17:00:00+0000,32.01,32.01,31.97,31.97,15
2018-05-01T18:00:00+0000,31.96,31.98,31.93,31.96,7
2018-05-02T07:00:00+0000,32.2,32.21,32.17,32.17,27
