Time,Open,High,Low,Close,Volume
2020-08-17T08:00:00+0000,552,552,552,552,25
2020-08-18T13:00:00+0000,555,555,555,555,25
2020-08-24T15:00:00+0000,552,552,552,552,10
2020-08-27T20:00:00+0000,570,570,570,570,1
2020-08-28T08:00:00+0000,564,564,564,564,2
2020-08-28T15:00:00+0000,563,563,563,563,15
2020-08-28T16:00:00+0000,563,563,563,563,10
2020-09-01T13:00:00+0000,563,564,563,564,28
2020-09-01T14:00:00+0000,568,568,568,568,3
2020-09-02T14:00:00+0000,571,571,570,570,3
2020-09-03T16:00:00+0000,566,566,566,566,10
2020-09-10T13:00:00+0000,575,575,575,575,3
2020-09-10T14:00:00+0000,584,584,583,583,2
2020-09-10T20:00:00+0000,575,575,575,575,1
2020-09-14T19:00:00+0000,585,585,585,585,1
2020-09-15T20:00:00+0000,585,585,585,585,1
2020-09-21T11:00:00+0000,582,582,582,582,1
2020-09-22T15:00:00+0000,578,578,578,578,3
2020-09-25T07:00:00+0000,574,574,574,574,10
2020-09-29T14:00:00+0000,574,574,574,574,1
2020-10-02T15:00:00+0000,570,570,570,570,1
2020-10-02T18:00:00+0000,571,571,571,571,1
2020-10-13T14:00:00+0000,578,578,578,578,1
2020-10-13T16:00:00+0000,583,583,583,583,1
2020-10-20T13:00:00+0000,584,584,584,584,1
2020-10-26T11:00:00+0000,588,588,588,588,1
2020-10-26T13:00:00+0000,590,590,590,590,2
2020-10-26T14:00:00+0000,590,592,590,592,6
2020-10-26T17:00:00+0000,593,595,593,595,2
2020-10-26T18:00:00+0000,591,591,591,591,1
2020-10-27T16:00:00+0000,596,596,596,596,1
2020-10-28T14:00:00+0000,604,608,604,608,2
2020-10-28T16:00:00+0000,610,610,610,610,5
2020-10-30T14:00:00+0000,606,606,605,605,3
2020-10-30T18:00:00+0000,607,607,607,607,1
2020-11-02T11:00:00+0000,605,605,605,605,1
2020-11-04T17:00:00+0000,605,605,605,605,1
2020-11-04T19:00:00+0000,602,602,602,602,1
2020-11-05T11:00:00+0000,594,594,594,594,1
2020-11-05T13:00:00+0000,596,596,596,596,1
2020-11-05T14:00:00+0000,598,600,598,600,3
2020-11-06T16:00:00+0000,608,608,606,606,2
2020-11-09T13:00:00+0000,618,618,610,610,3
2020-11-10T09:00:00+0000,607,607,607,607,1
2020-11-10T15:00:00+0000,606,606,606,606,3
2020-11-11T08:00:00+0000,610,610,610,610,1
2020-11-11T15:00:00+0000,615,617,615,617,2
2020-11-11T20:00:00+0000,613,613,613,613,1
2020-11-11T21:00:00+0000,617,617,617,617,1
2020-11-12T15:00:00+0000,620,620,620,620,1
2020-11-13T11:00:00+0000,629,629,629,629,1
2020-11-16T08:00:00+0000,630,630,630,630,1
2020-11-16T14:00:00+0000,632,632,632,632,9
2020-11-16T15:00:00+0000,631,631,631,631,1
2020-11-17T08:00:00+0000,632,632,632,632,1
2020-11-17T14:00:00+0000,639,639,639,639,1
2020-11-18T11:00:00+0000,640,640,640,640,1
2020-11-20T13:00:00+0000,650,660,650,660,3
2020-11-20T14:00:00+0000,654,654,654,654,3
2020-11-20T16:00:00+0000,650,650,650,650,1
2020-11-20T21:00:00+0000,656,656,656,656,1
2020-11-23T08:00:00+0000,658,658,658,658,1
2020-11-23T13:00:00+0000,670,670,670,670,1
2020-11-23T15:00:00+0000,680,680,680,680,3
2020-11-24T12:00:00+0000,680,680,680,680,1
2020-11-24T13:00:00+0000,688,688,688,688,1
2020-11-24T14:00:00+0000,686,686,682,682,4
2020-11-24T21:00:00+0000,675,675,675,675,1
2020-11-25T15:00:00+0000,685,685,685,685,1
2020-11-25T17:00:00+0000,683,683,683,683,1
2020-11-25T19:00:00+0000,683,683,683,683,2
2020-11-25T20:00:00+0000,685,685,685,685,1
2020-11-25T21:00:00+0000,681,681,681,681,1
2020-11-30T08:00:00+0000,683,683,683,683,1
2020-11-30T16:00:00+0000,682,682,682,682,1
2020-12-02T08:00:00+0000,685,685,685,685,1
2020-12-02T15:00:00+0000,685,685,685,685,5
2020-12-02T16:00:00+0000,684,687,684,687,3
2020-12-02T18:00:00+0000,686,686,686,686,1
2020-12-03T21:00:00+0000,684,684,684,684,3
2020-12-07T15:00:00+0000,700,700,700,700,20
2020-12-07T21:00:00+0000,690,690,690,690,1
2020-12-08T13:00:00+0000,691,691,691,691,1
2020-12-08T17:00:00+0000,690,690,690,690,1
2020-12-09T17:00:00+0000,695,695,695,695,1
2020-12-09T21:00:00+0000,704,704,704,704,2
2020-12-14T13:00:00+0000,725,725,725,725,1
2020-12-16T18:00:00+0000,800,800,780,780,2
2020-12-16T19:00:00+0000,780,780,780,780,1
2020-12-16T21:00:00+0000,780,780,780,780,1
2020-12-17T16:00:00+0000,785,785,785,785,1
2020-12-23T17:00:00+0000,768,768,768,768,1
2020-12-30T16:00:00+0000,749,768,749,768,3
2020-12-31T21:00:00+0000,758,758,758,758,2
2021-01-04T11:00:00+0000,761,761,761,761,1
2021-01-04T12:00:00+0000,763,763,763,763,1
2021-01-04T13:00:00+0000,760,760,760,760,1
2021-01-04T14:00:00+0000,760,770,760,770,12
2021-01-04T15:00:00+0000,767,770,767,770,3
2021-01-04T21:00:00+0000,762,762,762,762,1
2021-01-05T14:00:00+0000,763,763,763,763,2
2021-01-05T16:00:00+0000,770,775,770,775,6
2021-01-05T17:00:00+0000,775,775,775,775,3
2021-01-05T18:00:00+0000,775,777,775,777,2
2021-01-05T20:00:00+0000,777,777,777,777,1
2021-01-05T21:00:00+0000,780,800,780,796,12
2021-01-06T07:00:00+0000,825,825,825,825,2
2021-01-06T15:00:00+0000,820,820,820,820,1
2021-01-06T19:00:00+0000,818,818,818,818,1
2021-01-08T15:00:00+0000,805,817,805,816,6
2021-01-08T16:00:00+0000,819,840,819,840,6
2021-01-11T21:00:00+0000,840,842,840,842,2
2021-01-12T08:00:00+0000,860,860,860,860,1
2021-01-12T09:00:00+0000,865,865,865,865,1
2021-01-12T14:00:00+0000,858,858,858,858,1
2021-01-12T21:00:00+0000,820,820,820,820,1
2021-01-13T15:00:00+0000,809,809,809,809,2
2021-01-14T16:00:00+0000,801,804,801,804,6
2021-01-14T17:00:00+0000,804,804,804,804,3
2021-01-14T19:00:00+0000,794,800,794,800,5
2021-01-15T12:00:00+0000,795,795,795,795,1
2021-01-15T14:00:00+0000,788,788,788,788,2
2021-01-15T15:00:00+0000,773,785,773,785,5
2021-01-15T16:00:00+0000,790,790,790,790,1
2021-01-15T21:00:00+0000,800,800,800,800,1
2021-01-19T16:00:00+0000,800,800,800,800,2
2021-01-19T18:00:00+0000,793,795,793,795,3
2021-01-20T11:00:00+0000,820,820,820,820,1
2021-01-20T12:00:00+0000,800,800,780,800,6
2021-01-20T13:00:00+0000,800,800,800,800,1
2021-01-20T14:00:00+0000,800,800,800,800,1
2021-01-21T15:00:00+0000,800,800,800,800,2
