Time,Open,High,Low,Close,Volume
2021-10-07T07:00:00+0000,25.25,25.25,25.25,25.25,20
2021-10-07T19:00:00+0000,25.1,25.1,25.1,25.1,3
2021-10-11T16:00:00+0000,25.0,25.0,25.0,25.0,1
2021-10-11T19:00:00+0000,25.0,25.05,25.0,25.05,2
2021-10-13T19:00:00+0000,24.65,24.7,24.65,24.7,4
2021-10-14T14:00:00+0000,24.35,24.35,24.35,24.35,8
2021-10-14T19:00:00+0000,24.3,24.3,24.2,24.2,4
2021-10-18T13:00:00+0000,24.45,24.45,24.45,24.45,2
2021-10-18T14:00:00+0000,24.45,24.45,24.45,24.45,2
2021-10-18T18:00:00+0000,24.6,24.6,24.6,24.6,2
2021-10-18T19:00:00+0000,24.65,24.65,24.6,24.6,30
2021-10-20T14:00:00+0000,24.5,24.5,24.5,24.5,15
2021-10-20T17:00:00+0000,24.45,24.55,24.45,24.55,16
2021-10-20T19:00:00+0000,24.4,24.4,24.4,24.4,1
2021-10-21T19:00:00+0000,24.1,24.1,24.1,24.1,1
2021-10-22T19:00:00+0000,24.3,24.3,24.3,24.3,2
2021-10-25T19:00:00+0000,23.95,23.95,23.9,23.9,2
2021-10-26T14:00:00+0000,23.9,23.95,23.9,23.95,2
2021-10-26T19:00:00+0000,24.0,24.0,24.0,24.0,37
2021-10-27T14:00:00+0000,24.05,24.05,24.05,24.05,7
2021-10-27T19:00:00+0000,24.35,24.35,24.35,24.35,1
2021-10-29T01:00:00+0000,24.25,24.25,24.25,24.25,1
2021-10-29T10:00:00+0000,24.3,24.3,24.3,24.3,1
2021-11-01T14:00:00+0000,24.5,24.5,24.5,24.5,2
2021-11-01T19:00:00+0000,24.25,24.25,24.25,24.25,1
2021-11-02T13:00:00+0000,24.15,24.15,24.15,24.15,7
2021-11-02T16:00:00+0000,24.0,24.0,24.0,24.0,1
2021-11-02T19:00:00+0000,24.0,24.0,24.0,24.0,1
2021-11-03T13:00:00+0000,23.95,23.95,23.95,23.95,3
2021-11-03T15:00:00+0000,23.9,23.9,23.9,23.9,1
2021-11-03T16:00:00+0000,23.9,23.9,23.85,23.85,2
2021-11-03T18:00:00+0000,23.75,23.75,23.75,23.75,2
2021-11-03T19:00:00+0000,23.51,23.51,23.51,23.51,2
2021-11-04T13:00:00+0000,23.45,23.45,23.45,23.45,4
2021-11-04T14:00:00+0000,23.5,23.5,23.5,23.5,2
2021-11-04T15:00:00+0000,23.55,23.55,23.55,23.55,15
2021-11-04T16:00:00+0000,23.75,23.75,23.75,23.75,1
2021-11-05T14:00:00+0000,23.65,23.65,23.65,23.65,1
2021-11-05T15:00:00+0000,23.65,23.65,23.65,23.65,1
2021-11-05T16:00:00+0000,23.9,23.9,23.9,23.9,2
2021-11-05T17:00:00+0000,24.0,24.0,24.0,24.0,1
2021-11-05T19:00:00+0000,24.0,24.0,24.0,24.0,3
2021-11-05T20:00:00+0000,24.0,24.05,24.0,24.05,2
2021-11-07T23:00:00+0000,24.05,24.05,24.05,24.05,1
2021-11-08T14:00:00+0000,24.0,24.0,24.0,24.0,37
2021-11-08T20:00:00+0000,24.15,24.15,24.15,24.15,1
2021-11-09T01:00:00+0000,24.35,24.35,24.25,24.25,2
2021-11-09T04:00:00+0000,24.35,24.35,24.35,24.35,1
2021-11-09T10:00:00+0000,24.2,24.2,24.2,24.2,1
2021-11-09T14:00:00+0000,24.35,24.5,24.35,24.5,2
2021-11-09T15:00:00+0000,24.5,24.5,24.5,24.5,1
2021-11-09T16:00:00+0000,24.35,24.35,24.3,24.3,19
2021-11-09T19:00:00+0000,24.35,24.35,24.35,24.35,1
2021-11-09T20:00:00+0000,24.4,24.4,24.4,24.4,2
2021-11-10T15:00:00+0000,24.15,24.15,24.15,24.15,1
2021-11-10T17:00:00+0000,24.1,24.1,24.1,24.1,1
2021-11-10T19:00:00+0000,24.45,24.65,24.45,24.65,2
2021-11-10T20:00:00+0000,24.4,24.45,24.4,24.45,3
2021-11-11T14:00:00+0000,24.25,24.25,24.25,24.25,6
2021-11-11T15:00:00+0000,24.2,24.2,24.2,24.2,2
2021-11-11T17:00:00+0000,24.15,24.15,24.15,24.15,4
2021-11-11T19:00:00+0000,24.1,24.1,24.1,24.1,15
2021-11-11T20:00:00+0000,24.1,24.1,24.1,24.1,3
2021-11-12T14:00:00+0000,24.0,24.0,24.0,24.0,1
2021-11-12T20:00:00+0000,23.95,23.95,23.95,23.95,4
2021-11-14T23:00:00+0000,24.0,24.0,24.0,24.0,5
2021-11-15T12:00:00+0000,23.85,23.85,23.85,23.85,1
2021-11-15T15:00:00+0000,24.05,24.05,24.05,24.05,1
2021-11-15T18:00:00+0000,24.15,24.15,24.15,24.15,1
2021-11-15T19:00:00+0000,24.05,24.05,24.05,24.05,2
2021-11-15T20:00:00+0000,24.1,24.1,24.1,24.1,4
2021-11-16T14:00:00+0000,24.1,24.1,24.09,24.09,42
2021-11-16T15:00:00+0000,23.95,23.95,23.95,23.95,21
2021-11-16T17:00:00+0000,24.0,24.0,24.0,24.0,2
2021-11-16T20:00:00+0000,24.0,24.0,24.0,24.0,2
2021-11-17T03:00:00+0000,24.05,24.05,24.05,24.05,1
2021-11-17T14:00:00+0000,24.2,24.2,24.2,24.2,1
2021-11-17T16:00:00+0000,24.2,24.2,24.14,24.15,53
2021-11-17T17:00:00+0000,24.2,24.2,24.2,24.2,1
2021-11-17T19:00:00+0000,24.4,24.4,24.4,24.4,1
